=================================================
           D{0-1}KP Problem Solution
=================================================

Instance Name: IDKP1
Dimension: 300
Capacity: 61500

Algorithm: Dynamic Programming
Solve Time: 207 ms

-------------------------------------------------
                   RESULT
-------------------------------------------------
Total Profit: 70106
Total Weight: 61486
Remaining Capacity: 14

Selected Items (59):

ItemID   Set      Position     Profit       Weight      
-------------------------------------------------
299      99       2            759          728         
293      97       2            851          883         
290      96       2            1756         1510        
278      92       2            1180         1106        
275      91       2            1127         1111        
272      90       2            1270         952         
269      89       2            1592         1133        
263      87       2            1178         1215        
260      86       2            1378         1311        
257      85       2            746          609         
251      83       2            1354         1289        
248      82       2            914          625         
245      81       2            976          1019        
242      80       2            1148         1148        
233      77       2            663          450         
224      74       2            1428         1065        
218      72       2            877          927         
215      71       2            957          809         
212      70       2            1255         1302        
209      69       2            1288         1077        
206      68       2            1275         1296        
200      66       2            1238         899         
197      65       2            1873         1395        
194      64       2            1572         1062        
191      63       2            1488         1288        
188      62       2            1194         1176        
179      59       2            1237         1021        
176      58       2            1322         992         
173      57       2            1566         1231        
164      54       2            1399         1363        
161      53       2            760          758         
158      52       2            1853         1510        
155      51       2            1390         1364        
149      49       2            1254         1245        
137      45       2            912          846         
131      43       2            803          719         
128      42       2            711          636         
125      41       2            1428         1406        
122      40       2            1164         1064        
119      39       2            237          232         
116      38       2            722          623         
113      37       2            1383         1098        
110      36       2            915          727         
95       31       2            835          679         
89       29       2            829          846         
86       28       2            1226         1064        
83       27       2            1179         1092        
80       26       2            1963         1418        
59       19       2            1194         1053        
47       15       2            742          774         
44       14       2            1234         1101        
41       13       2            1603         1251        
35       11       2            1262         1037        
32       10       2            663          579         
29       9        2            1948         1545        
26       8        2            1360         1241        
20       6        2            971          903         
17       5        2            1375         1362        
2        0        2            1329         1321        

=================================================
Generated at: 2026-03-23 17:02:51
=================================================
